Channel Budget Digital,Channel Budget TV,Channel Budget Radio,Channel Budget Newspaper,sales,Spend Frequency,Start Date,End Date,Duration,ROI,Engagement Metrics,Target Audience Size,Demographics,Zip Code,Seasonality
100.35,66.9,11.7,36.8,9.7,Weekly,2023-06-07,2023-08-26,80,2.077341017,432,72453,18-24,96084,Summer
299.7,199.8,3.1,34.6,11.4,Daily,2023-08-20,2023-10-13,54,0.8863491572,238,13468,55+,95556,None
150.6,100.4,9.6,3.6,10.7,Daily,2023-01-27,2023-03-15,47,2.430042645,186,97166,25-34,95959,Summer
324.6,216.4,41.7,39.6,22.6,Daily,2023-08-04,2023-09-24,51,2.625206206,234,81410,25-34,95462,None
273.9,182.6,46.2,58.7,21.2,Weekly,2023-11-15,2024-01-08,54,2.590256775,988,46088,55+,92256,Summer
394.05,262.7,28.8,15.9,20.2,Monthly,2023-10-01,2023-11-06,36,2.804682883,123,98951,18-24,95240,Summer
298.35,198.9,49.4,60,23.7,Weekly,2023-10-18,2024-01-01,75,1.218158275,259,54452,45-54,95405,Holiday
10.95,7.3,28.1,41.4,5.5,Weekly,2023-11-07,2024-02-01,86,2.187346033,652,84191,45-54,91709,Holiday
204.3,136.2,19.2,16.6,13.2,Daily,2023-07-19,2023-10-01,74,1.242842942,897,78484,25-34,93610,Winter
316.2,210.8,49.6,37.7,23.8,Weekly,2023-02-15,2023-04-24,68,0.6793800808,515,21460,18-24,92371,None
316.05,210.7,29.5,9.3,18.4,Daily,2023-01-30,2023-03-30,59,2.53377113,288,15100,18-24,95432,Holiday
80.25,53.5,2,21.4,8.1,Monthly,2023-12-09,2024-01-22,44,0.6356131827,746,23733,45-54,90065,Summer
391.95,261.3,42.7,54.7,24.2,Weekly,2023-02-07,2023-03-17,38,2.949525472,100,92866,18-24,93308,Holiday
358.95,239.3,15.5,27.3,15.7,Daily,2023-04-04,2023-05-27,53,2.467905756,10,69389,45-54,92870,Winter
154.05,102.7,29.6,8.4,14,Daily,2023-09-21,2023-11-17,57,1.184967048,922,81007,25-34,94065,None
196.65,131.1,42.8,28.9,18,Daily,2023-02-01,2023-04-08,66,0.7745174492,941,13665,25-34,95417,Summer
103.5,69,9.3,0.9,9.3,Daily,2023-07-10,2023-08-09,30,1.966931167,425,51798,25-34,93727,Winter
47.25,31.5,24.6,2.2,9.5,Weekly,2023-10-23,2023-12-20,58,1.742331464,801,84265,45-54,95694,None
208.95,139.3,14.5,10.2,13.4,Daily,2023-08-07,2023-10-05,59,1.187805859,146,89399,25-34,91765,Summer
356.1,237.4,27.5,11,18.9,Daily,2023-06-08,2023-07-18,40,0.5419758555,917,57487,55+,92368,Winter
325.2,216.8,43.9,27.2,22.3,Monthly,2023-10-29,2024-01-24,87,2.857688693,482,70992,25-34,90620,Summer
298.65,199.1,30.6,38.7,18.3,Monthly,2023-08-03,2023-10-02,60,0.9135553092,792,85549,18-24,94805,Summer
164.7,109.8,14.3,31.7,12.4,Weekly,2023-08-10,2023-09-25,46,0.5730330244,845,74086,25-34,96097,None
40.2,26.8,33,19.3,8.8,Daily,2023-10-28,2024-01-04,68,2.929143062,940,15698,55+,90066,Winter
194.1,129.4,5.7,31.3,11,Weekly,2023-11-17,2024-01-07,51,2.654258423,757,15012,35-44,95203,Holiday
320.1,213.4,24.6,13.1,17,Weekly,2023-07-01,2023-09-18,79,1.546119254,48,93308,55+,93606,Summer
25.35,16.9,43.7,89.4,8.7,Weekly,2023-06-09,2023-09-02,85,0.6997567992,282,49765,55+,91103,Winter
41.25,27.5,1.6,20.7,6.9,Daily,2023-04-05,2023-06-27,83,0.8717532846,698,90165,55+,95626,Holiday
180.75,120.5,28.5,14.2,14.2,Monthly,2023-08-24,2023-11-08,76,2.804373686,631,17207,55+,91343,None
8.1,5.4,29.9,9.4,5.3,Monthly,2023-10-05,2023-12-06,62,1.406290313,309,81745,18-24,90023,Winter
174,116,7.7,23.1,11,Daily,2023-06-08,2023-08-04,57,0.8197685758,983,16710,45-54,91361,Winter
114.6,76.4,26.7,22.3,11.8,Daily,2023-06-14,2023-09-06,84,1.395781177,552,29028,25-34,91941,Holiday
359.7,239.8,4.1,36.9,12.3,Monthly,2023-02-22,2023-05-13,80,2.651492013,799,94855,45-54,93105,None
112.95,75.3,20.3,32.5,11.3,Daily,2023-08-28,2023-10-28,61,1.584708753,107,53270,55+,95714,Holiday
102.6,68.4,44.5,35.6,13.6,Monthly,2023-07-28,2023-10-07,71,0.6019258346,904,40839,35-44,92103,None
320.25,213.5,43,33.8,21.7,Weekly,2023-04-01,2023-06-27,87,2.894064815,341,45885,55+,95346,Holiday
289.8,193.2,18.4,65.7,15.2,Daily,2023-10-27,2023-12-29,63,2.55610577,286,31848,45-54,95035,Summer
114.45,76.3,27.5,16,12,Weekly,2023-09-10,2023-11-17,68,0.9060504856,463,13100,18-24,90069,None
166.05,110.7,40.6,63.2,16,Weekly,2023-06-15,2023-08-15,61,1.727889117,920,52771,55+,95207,None
132.45,88.3,25.5,73.4,12.9,Weekly,2023-11-17,2024-02-03,78,2.803059893,834,74954,35-44,93637,None
164.7,109.8,47.8,51.4,16.7,Weekly,2023-11-03,2024-01-21,79,2.049516595,641,87489,25-34,92860,Winter
201.45,134.3,4.9,9.3,11.2,Daily,2023-03-20,2023-05-30,71,2.902335975,652,36902,45-54,94019,Winter
42.9,28.6,1.5,33,7.3,Daily,2023-01-19,2023-03-13,53,0.6787278676,336,84938,18-24,95616,Holiday
326.55,217.7,33.5,59,19.4,Weekly,2023-07-30,2023-09-19,51,1.843676045,330,67713,35-44,92028,Winter
376.35,250.9,36.5,72.3,22.2,Daily,2023-11-13,2024-01-22,70,2.649119714,213,19935,55+,95717,Winter
161.1,107.4,14,10.9,11.5,Weekly,2023-08-14,2023-10-21,68,1.181872472,197,10107,55+,95429,Summer
244.95,163.3,31.6,52.9,16.9,Daily,2023-11-27,2024-02-22,87,1.000514752,883,76784,35-44,95337,Winter
296.4,197.6,3.5,5.9,11.7,Monthly,2023-07-06,2023-09-04,60,1.629662837,544,81556,45-54,93706,Holiday
277.35,184.9,21,22,15.5,Weekly,2023-09-28,2023-12-03,66,1.47360453,449,47365,18-24,90064,None
434.55,289.7,42.3,51.2,25.4,Weekly,2023-01-28,2023-03-05,36,2.45428296,881,75042,35-44,92398,Holiday
202.8,135.2,41.7,45.9,17.2,Monthly,2023-08-30,2023-10-09,40,2.287000671,332,89814,45-54,93433,Winter
333.6,222.4,4.3,49.8,11.7,Weekly,2023-12-24,2024-02-14,52,2.48878995,550,77227,18-24,94062,None
444.6,296.4,36.3,100.9,23.8,Weekly,2023-02-25,2023-05-02,66,2.033036608,950,57751,45-54,90240,Summer
420.3,280.2,10.1,21.4,14.8,Monthly,2023-12-16,2024-02-08,54,1.41277007,715,20825,18-24,92328,Summer
281.85,187.9,17.2,17.9,14.7,Monthly,2023-03-14,2023-05-21,68,2.516065262,42,84134,18-24,94114,Winter
357.3,238.2,34.3,5.3,20.7,Daily,2023-11-10,2024-01-02,53,2.609449779,659,30926,18-24,91722,Holiday
206.85,137.9,46.4,59,19.2,Monthly,2023-01-23,2023-03-02,38,2.358758666,226,67706,35-44,94040,Holiday
37.5,25,11,29.7,7.2,Daily,2023-07-27,2023-10-19,84,1.165233596,574,94443,18-24,92833,Winter
135.6,90.4,0.3,23.2,8.7,Daily,2023-05-24,2023-08-20,88,1.69148342,686,15773,25-34,92028,Summer
19.65,13.1,0.4,25.6,5.3,Daily,2023-08-30,2023-10-20,51,2.267094733,386,52901,35-44,96006,Winter
383.1,255.4,26.9,5.5,19.8,Monthly,2023-05-29,2023-08-10,73,1.926716977,259,90483,45-54,95920,None
338.7,225.8,8.2,56.5,13.4,Weekly,2023-08-15,2023-10-03,49,1.904105093,788,63636,35-44,93309,None
362.55,241.7,38,23.2,21.8,Daily,2023-10-06,2023-12-27,82,2.645836198,724,36630,25-34,92254,None
263.55,175.7,15.4,2.4,14.1,Daily,2023-11-28,2024-02-24,88,1.998363136,895,29330,55+,90305,Holiday
314.4,209.6,20.6,10.7,15.9,Weekly,2023-02-01,2023-03-16,43,2.244988882,853,80816,45-54,93631,Summer
117.3,78.2,46.8,34.5,14.6,Monthly,2023-01-03,2023-03-30,86,1.491376578,286,93268,25-34,91356,Winter
112.65,75.1,35,52.7,12.6,Monthly,2023-12-23,2024-02-26,65,2.923230143,185,95067,35-44,90621,Winter
208.8,139.2,14.3,25.6,12.2,Daily,2023-12-14,2024-02-16,64,0.7559007282,721,82067,55+,92590,Winter
114.6,76.4,0.8,14.8,9.4,Monthly,2023-05-18,2023-08-12,86,2.827691483,896,15555,18-24,96046,Summer
188.55,125.7,36.9,79.2,15.9,Daily,2023-04-25,2023-06-30,66,0.6044159283,951,19669,45-54,91723,None
29.1,19.4,16,22.3,6.6,Daily,2023-04-06,2023-07-04,89,1.864752094,115,56585,35-44,95614,Holiday
211.95,141.3,26.8,46.2,15.5,Daily,2023-09-24,2023-12-06,73,2.863181608,248,63396,35-44,92061,Winter
28.2,18.8,21.7,50.4,7,Weekly,2023-11-10,2024-01-21,72,0.7433896481,828,32051,35-44,93529,Summer
336,224,2.4,15.6,11.6,Monthly,2023-01-05,2023-02-26,52,1.704754299,377,21222,18-24,92324,Summer
184.65,123.1,34.6,12.4,15.2,Monthly,2023-01-10,2023-02-09,30,2.085870426,578,28056,55+,93924,None
344.25,229.5,32.3,74.2,19.7,Weekly,2023-03-20,2023-05-14,55,2.370951098,8,26446,35-44,92227,Holiday
130.8,87.2,11.8,25.9,10.6,Daily,2023-03-10,2023-04-26,47,2.704666596,364,93493,55+,92315,Holiday
11.7,7.8,38.9,50.6,6.6,Weekly,2023-11-27,2024-01-01,35,1.148521215,382,87857,55+,95240,Winter
120.3,80.2,0,9.2,8.8,Weekly,2023-10-30,2024-01-17,79,2.171862875,857,16160,25-34,95202,Summer
330.45,220.3,49,3.2,24.7,Weekly,2023-10-05,2023-12-06,62,2.218712851,120,95561,45-54,92059,Winter
89.4,59.6,12,43.1,9.7,Monthly,2023-08-07,2023-09-16,40,1.073669907,278,45515,35-44,92805,None
1.05,0.7,39.6,8.7,1.6,Weekly,2023-04-27,2023-06-01,35,1.728035962,257,27692,18-24,94618,Winter
397.8,265.2,2.9,43,12.7,Daily,2023-10-09,2023-12-14,66,0.6972059548,144,62018,18-24,94102,Winter
12.6,8.4,27.2,2.1,5.7,Weekly,2023-08-30,2023-10-26,57,0.8944951927,191,46376,55+,95360,Summer
329.7,219.8,33.5,45.1,19.6,Monthly,2023-10-07,2023-11-16,40,0.5214891965,801,59733,45-54,93962,None
55.35,36.9,38.6,65.6,10.8,Monthly,2023-03-05,2023-04-20,46,2.568138658,931,20348,25-34,91607,Summer
72.45,48.3,47,8.5,11.6,Monthly,2023-01-24,2023-04-09,75,2.616544835,408,85781,18-24,92123,Winter
38.4,25.6,39,9.3,9.5,Weekly,2023-10-11,2023-11-25,45,2.221262658,27,60641,25-34,93924,Holiday
410.55,273.7,28.9,59.7,20.8,Weekly,2023-11-17,2023-12-27,40,1.704930157,639,20089,25-34,92780,Winter
64.5,43,25.9,20.5,9.6,Daily,2023-08-19,2023-09-30,42,2.987301382,402,10682,45-54,90026,None
277.35,184.9,43.9,1.7,20.7,Weekly,2023-05-19,2023-07-22,64,1.342748905,127,77010,18-24,91101,Holiday
110.1,73.4,17,12.9,10.9,Weekly,2023-05-22,2023-08-11,81,1.634913131,555,93505,45-54,92105,None
290.55,193.7,35.4,75.6,19.2,Monthly,2023-04-15,2023-05-18,33,2.631988511,884,23645,18-24,92835,Winter
330.75,220.5,33.2,37.9,20.1,Monthly,2023-01-23,2023-04-06,73,2.550817351,166,31424,35-44,93514,None
156.9,104.6,5.7,34.4,10.4,Daily,2023-03-19,2023-04-23,35,2.541617562,670,41626,18-24,96038,Holiday
144.3,96.2,14.8,38.9,11.4,Monthly,2023-07-31,2023-09-21,52,0.5085189082,842,56519,55+,92610,Holiday
210.45,140.3,1.9,9,10.3,Daily,2023-05-03,2023-07-17,75,1.07967555,789,58610,35-44,92211,Summer
360.15,240.1,7.3,8.7,13.2,Daily,2023-07-16,2023-08-26,41,2.045421981,738,76790,45-54,95776,None
364.8,243.2,49,44.3,25.4,Monthly,2023-05-11,2023-07-27,77,2.338192545,541,80677,18-24,93610,Summer
57,38,40.3,11.9,10.9,Daily,2023-06-08,2023-08-05,58,2.491497246,719,88878,45-54,94928,Summer
67.05,44.7,25.8,20.6,10.1,Monthly,2023-10-25,2024-01-03,70,1.815687246,850,15871,25-34,94502,Holiday
421.05,280.7,13.9,37,16.1,Monthly,2023-08-27,2023-10-17,51,2.060708624,473,51059,25-34,92625,None
181.5,121,8.4,48.7,11.6,Weekly,2023-07-05,2023-08-21,47,0.6284603487,159,55991,55+,95511,Holiday
296.4,197.6,23.3,14.2,16.6,Monthly,2023-07-23,2023-10-04,73,2.003778292,586,29749,35-44,95037,Summer
256.95,171.3,39.7,37.7,19,Daily,2023-09-07,2023-11-21,75,2.670838426,403,59888,35-44,93239,None
281.7,187.8,21.1,9.5,15.6,Daily,2023-08-06,2023-09-29,54,2.588232157,524,32178,55+,91001,Summer
6.15,4.1,11.6,5.7,3.2,Monthly,2023-10-29,2023-11-30,32,1.721732905,826,54581,55+,90059,Winter
140.85,93.9,43.5,50.5,15.3,Daily,2023-12-01,2024-01-09,39,1.922450598,699,49523,18-24,94549,Summer
224.7,149.8,1.3,24.3,10.1,Monthly,2023-11-08,2023-12-12,34,0.8230157315,937,99586,18-24,93260,Winter
17.55,11.7,36.9,45.2,7.3,Weekly,2023-04-23,2023-06-23,61,1.928567716,676,66199,45-54,90068,Holiday
197.55,131.7,18.4,34.6,12.9,Weekly,2023-09-19,2023-12-12,84,2.195062341,491,39735,55+,92592,Summer
258.75,172.5,18.1,30.7,14.4,Daily,2023-04-22,2023-07-18,87,1.815547993,166,18811,45-54,95519,Holiday
128.55,85.7,35.8,49.3,13.3,Weekly,2023-12-16,2024-02-12,58,1.725693104,548,26912,35-44,95454,Summer
282.6,188.4,18.1,25.6,14.9,Weekly,2023-01-13,2023-03-09,55,0.9677203953,589,36060,25-34,90047,Summer
245.25,163.5,36.8,7.4,18,Monthly,2023-12-04,2024-01-25,52,2.92144107,583,53367,35-44,92866,Winter
175.8,117.2,14.7,5.4,11.9,Weekly,2023-06-08,2023-07-28,50,0.5388755052,611,90826,18-24,93615,None
351.75,234.5,3.4,84.8,11.9,Daily,2023-08-20,2023-11-08,80,0.6441898173,141,27466,45-54,95148,None
26.85,17.9,37.6,21.6,8,Monthly,2023-09-30,2023-11-21,52,1.40022794,401,59451,25-34,94501,None
310.2,206.8,5.2,19.4,12.2,Daily,2023-08-05,2023-09-30,56,2.750472203,580,87194,45-54,94107,Winter
323.1,215.4,23.6,57.6,17.1,Daily,2023-12-21,2024-02-13,54,1.739400755,67,24044,55+,92128,Holiday
426.45,284.3,10.6,6.4,15,Daily,2023-07-25,2023-10-19,86,2.707928658,624,20660,35-44,92691,Summer
75,50,11.6,18.4,8.4,Weekly,2023-11-29,2024-01-04,36,2.921000442,547,53444,18-24,90743,None
246.75,164.5,20.9,47.4,14.5,Weekly,2023-12-08,2024-02-06,60,2.022217564,621,63638,55+,92661,Holiday
29.4,19.6,20.1,17,7.6,Weekly,2023-12-27,2024-03-25,89,2.021947985,919,97139,45-54,90036,Summer
252.6,168.4,7.1,12.8,11.7,Monthly,2023-04-20,2023-07-16,87,0.8642789746,168,87595,25-34,95209,Summer
333.6,222.4,3.4,13.1,11.5,Monthly,2023-03-19,2023-05-02,44,1.380315392,623,95742,55+,92342,Holiday
415.35,276.9,48.9,41.8,27,Daily,2023-12-17,2024-02-24,69,2.233092613,862,19733,35-44,92126,None
372.6,248.4,30.2,20.3,20.2,Daily,2023-05-07,2023-07-27,81,1.391613704,311,58631,45-54,92258,Winter
255.3,170.2,7.8,35.2,11.7,Weekly,2023-01-16,2023-04-13,87,1.774208027,536,38454,35-44,95682,None
415.05,276.7,2.3,23.7,11.8,Weekly,2023-01-09,2023-02-16,38,1.065916799,383,57888,35-44,95070,None
248.4,165.6,10,17.6,12.6,Daily,2023-01-01,2023-03-05,63,2.75860861,699,78204,18-24,94518,Holiday
234.9,156.6,2.6,8.3,10.5,Monthly,2023-04-08,2023-06-15,68,2.580115948,395,43595,55+,94973,Holiday
327.75,218.5,5.4,27.4,12.2,Weekly,2023-12-04,2024-01-09,36,1.730505524,510,12293,18-24,91606,None
84.3,56.2,5.7,29.7,8.7,Monthly,2023-10-13,2023-12-03,51,1.268068654,527,51719,45-54,91792,Winter
431.4,287.6,43,71.8,26.2,Monthly,2023-02-16,2023-05-12,85,2.806119738,424,43689,25-34,94519,None
380.7,253.8,21.3,30,17.6,Monthly,2023-08-29,2023-11-23,86,1.894720306,127,86056,35-44,95961,Holiday
307.5,205,45.1,19.6,22.6,Weekly,2023-03-03,2023-04-14,42,1.264514041,735,57050,55+,94132,Winter
209.25,139.5,2.1,26.6,10.3,Monthly,2023-02-17,2023-05-09,81,2.278172654,428,78582,35-44,95570,None
286.65,191.1,28.7,18.2,17.3,Weekly,2023-03-21,2023-05-10,50,1.022225723,588,91858,35-44,92843,None
429,286,13.9,3.7,15.9,Monthly,2023-06-14,2023-08-08,55,1.800144896,572,17580,45-54,95830,Summer
28.05,18.7,12.1,23.4,6.7,Monthly,2023-03-09,2023-04-14,36,2.508293235,57,43133,18-24,91001,Holiday
59.25,39.5,41.1,5.8,10.8,Monthly,2023-11-02,2023-12-10,38,2.072240196,235,79503,55+,96016,Holiday
113.25,75.5,10.8,6,9.9,Daily,2023-11-04,2023-12-20,46,2.57327455,272,36317,35-44,93256,None
25.8,17.2,4.1,31.6,5.9,Weekly,2023-04-03,2023-06-22,80,2.202009524,9,17130,25-34,95310,Summer
250.2,166.8,42,3.6,19.6,Daily,2023-08-23,2023-09-30,38,2.823772721,82,35568,18-24,92027,Summer
224.55,149.7,35.6,6,17.3,Weekly,2023-08-07,2023-09-28,52,1.004483641,591,73049,25-34,95250,Winter
57.3,38.2,3.7,13.8,7.6,Monthly,2023-02-02,2023-03-20,46,1.022349699,659,91636,18-24,95951,None
141.3,94.2,4.9,8.1,9.7,Weekly,2023-11-18,2024-02-01,75,2.332135542,216,46222,25-34,95364,Winter
265.5,177,9.3,6.4,12.8,Monthly,2023-01-22,2023-03-07,44,1.503367738,377,44216,25-34,90069,Winter
425.4,283.6,42,66.2,25.5,Daily,2023-11-07,2024-01-26,80,0.9603801646,371,10437,55+,93401,Summer
69.2,232.1,8.6,8.7,13.4,Weekly,2023-04-14,2023-06-10,57,1.448758608,44,46348,18-24,95665,None
45.1,230.1,37.8,69.2,22.1,Daily,2023-02-14,2023-05-14,89,1.525685118,537,66226,18-24,92126,Summer
69.3,44.5,39.3,45.1,10.4,Monthly,2023-06-20,2023-08-07,48,0.7384748093,895,33319,18-24,94550,Winter
58.5,17.2,45.9,69.3,9.3,Daily,2023-05-29,2023-08-11,74,1.589448907,725,10233,35-44,92356,Winter
58.4,151.5,41.3,58.5,18.5,Weekly,2023-01-12,2023-02-26,45,2.599628229,581,10372,18-24,95612,Summer
75,180.8,10.8,58.4,12.9,Monthly,2023-06-24,2023-08-18,55,2.090779402,445,40655,25-34,95545,Holiday
23.5,8.7,48.9,75,7.2,Monthly,2023-03-05,2023-05-29,85,1.546852821,781,46555,18-24,92104,Holiday
11.6,57.5,32.8,23.5,11.8,Daily,2023-05-30,2023-08-09,71,1.81905234,849,54338,55+,93210,Summer
1,120.2,19.6,11.6,13.2,Monthly,2023-06-26,2023-09-05,71,1.268131857,680,35921,25-34,95312,None
21.2,8.6,2.1,1,4.8,Weekly,2023-05-13,2023-07-27,75,1.938865521,337,57747,45-54,96013,Winter
24.2,199.8,2.6,21.2,10.6,Weekly,2023-06-09,2023-08-12,64,0.7363350151,210,30960,35-44,91932,None
4,66.1,5.8,24.2,8.6,Monthly,2023-07-12,2023-09-10,60,2.933211036,498,24304,35-44,91732,Holiday
65.9,214.7,24,4,17.4,Daily,2023-01-08,2023-04-07,89,0.9332576978,917,48053,18-24,95675,Winter
7.2,23.8,35.1,65.9,9.2,Weekly,2023-11-09,2024-01-17,69,1.869711737,620,31199,25-34,90048,Summer
46,97.5,7.6,7.2,9.7,Weekly,2023-03-17,2023-05-15,59,1.906569121,266,40713,25-34,90039,None
52.9,204.1,32.9,46,19,Weekly,2023-03-05,2023-05-20,76,1.949065456,563,84893,25-34,96031,Holiday
114,195.4,47.7,52.9,22.4,Weekly,2023-08-09,2023-09-16,38,2.904742124,442,61289,35-44,90292,Winter
55.8,67.8,36.6,114,12.5,Monthly,2023-05-19,2023-07-01,43,1.135862055,471,37532,55+,95650,Winter
18.3,281.4,39.6,55.8,24.4,Daily,2023-10-02,2023-12-16,75,1.290548564,550,60296,25-34,96001,Holiday
19.1,69.2,20.5,18.3,11.3,Weekly,2023-04-11,2023-05-13,32,2.109099835,594,33674,45-54,93940,Summer
53.4,147.3,23.9,19.1,14.6,Daily,2023-12-20,2024-01-19,30,1.544241962,758,48232,18-24,94565,Holiday
23.5,218.4,27.7,53.4,18,Weekly,2023-03-12,2023-05-22,71,1.172498809,388,57533,55+,90036,Winter
49.6,237.4,5.1,23.5,12.5,Daily,2023-06-13,2023-08-01,49,2.545763535,16,54308,25-34,95423,Winter
26.2,13.2,15.9,49.6,5.6,Monthly,2023-12-31,2024-02-26,57,0.9980535458,86,75037,18-24,92585,Summer
18.3,228.3,16.9,26.2,15.5,Daily,2023-03-11,2023-05-12,62,1.900255791,614,85287,45-54,95133,Holiday
19.5,62.3,12.6,18.3,9.7,Weekly,2023-01-30,2023-04-22,82,1.383334344,573,42890,18-24,93554,Summer
12.6,262.9,3.5,19.5,12,Monthly,2023-12-02,2024-02-19,79,1.091688942,850,64468,35-44,90713,Summer
22.9,142.9,29.3,12.6,15,Monthly,2023-10-23,2023-12-17,55,1.116298262,736,24368,45-54,95969,Summer
22.9,240.1,16.7,22.9,15.9,Daily,2023-10-09,2023-11-18,40,2.973749264,517,48743,55+,91361,None
40.8,248.8,27.1,22.9,18.9,Monthly,2023-07-09,2023-08-29,51,2.920500939,602,46666,25-34,95018,Winter
43.2,70.6,16,40.8,10.5,Monthly,2023-01-12,2023-02-25,44,1.062244566,392,24402,25-34,92338,Winter
38.6,292.9,28.3,43.2,21.4,Monthly,2023-04-10,2023-05-31,51,0.6610856471,1,53993,55+,95701,None
30,112.9,17.4,38.6,11.9,Daily,2023-01-05,2023-03-14,68,1.503807024,924,88373,18-24,95129,None
0.3,97.2,1.5,30,9.6,Monthly,2023-08-06,2023-10-25,80,1.921964032,155,26599,55+,96055,None
7.4,265.6,20,0.3,17.4,Monthly,2023-11-02,2024-01-17,76,1.068936093,907,49233,35-44,92227,None
8.5,95.7,1.4,7.4,9.5,Daily,2023-03-27,2023-06-19,84,1.278269155,787,24904,45-54,94601,Winter
5,290.7,4.1,8.5,12.8,Monthly,2023-12-10,2024-02-29,81,2.981628327,430,83146,25-34,95548,None
45.7,266.9,43.8,5,25.4,Monthly,2023-11-23,2024-01-16,54,2.738221048,903,76605,45-54,96124,Winter
35.1,74.7,49.4,45.7,14.7,Monthly,2023-05-19,2023-08-06,79,1.789248162,350,34352,18-24,96010,Summer
32,43.1,26.7,35.1,10.1,Weekly,2023-10-11,2023-11-13,33,1.352100742,140,46084,45-54,93620,Winter
31.6,228,37.7,32,21.5,Weekly,2023-06-17,2023-07-24,37,1.702203403,717,31642,45-54,95245,Holiday
38.7,202.5,22.3,31.6,16.6,Monthly,2023-09-24,2023-11-08,45,1.728155654,764,36791,25-34,95973,Holiday
1.8,177,33.4,38.7,17.1,Weekly,2023-06-02,2023-07-25,53,1.363348462,920,10961,25-34,92701,Summer
26.4,293.6,27.7,1.8,20.7,Monthly,2023-03-06,2023-05-27,82,2.001225771,432,94680,25-34,95694,Summer
43.3,206.9,8.4,26.4,12.9,Daily,2023-08-09,2023-10-08,60,2.55301475,577,71523,18-24,92345,Summer
31.5,25.1,25.7,43.3,8.5,Weekly,2023-08-18,2023-09-27,40,2.336790203,16,29615,45-54,95688,Winter
35.7,175.1,22.5,31.5,14.9,Monthly,2023-03-08,2023-04-18,41,1.586279243,181,66969,45-54,91436,None
18.5,89.7,9.9,35.7,10.6,Weekly,2023-03-14,2023-06-06,84,1.63255586,460,93319,18-24,93551,None
49.9,239.9,41.5,18.5,23.2,Weekly,2023-01-30,2023-04-12,72,1.253962355,886,41330,25-34,93274,Summer
36.8,227.2,15.8,49.9,14.8,Monthly,2023-08-04,2023-09-27,54,2.023419898,85,93973,18-24,91367,Holiday
34.6,66.9,11.7,36.8,9.7,Weekly,2023-01-06,2023-02-28,53,1.012720693,851,30408,55+,93928,Winter
3.6,199.8,3.1,34.6,11.4,Daily,2023-05-12,2023-07-09,58,2.130898192,498,74442,18-24,94043,Holiday
39.6,100.4,9.6,3.6,10.7,Weekly,2023-12-11,2024-02-19,70,1.813369144,659,46820,35-44,95422,Holiday
58.7,216.4,41.7,39.6,22.6,Weekly,2023-05-20,2023-06-30,41,2.974533145,258,21139,55+,94947,Holiday
15.9,182.6,46.2,58.7,21.2,Monthly,2023-10-28,2023-12-07,40,2.488463779,659,37594,18-24,91301,Winter
60,262.7,28.8,15.9,20.2,Daily,2023-05-01,2023-06-30,60,2.260752857,992,46523,35-44,94621,Summer
41.4,198.9,49.4,60,23.7,Daily,2023-06-21,2023-09-17,88,1.699472894,64,89883,18-24,91724,None
16.6,7.3,28.1,41.4,5.5,Daily,2023-01-24,2023-03-20,55,1.854009468,749,68665,25-34,95668,Winter
37.7,136.2,19.2,16.6,13.2,Monthly,2023-04-09,2023-06-18,70,1.03251657,168,90757,45-54,95670,Winter
9.3,210.8,49.6,37.7,23.8,Monthly,2023-02-22,2023-04-26,63,2.186204374,414,99594,55+,94502,Holiday
21.4,210.7,29.5,9.3,18.4,Daily,2023-08-24,2023-11-16,84,1.124916259,796,21377,55+,91711,Winter
54.7,53.5,2,21.4,8.1,Monthly,2023-03-04,2023-05-04,61,2.788247248,556,20965,35-44,95325,Summer
27.3,261.3,42.7,54.7,24.2,Weekly,2023-10-02,2023-11-12,41,2.257767213,103,96748,45-54,92276,Winter
8.4,239.3,15.5,27.3,15.7,Weekly,2023-07-29,2023-09-01,34,2.878516667,987,38718,25-34,91367,Holiday
28.9,102.7,29.6,8.4,14,Monthly,2023-02-15,2023-04-21,65,1.917069367,686,10829,18-24,93205,None
0.9,131.1,42.8,28.9,18,Daily,2023-05-11,2023-08-06,87,2.828412926,238,80473,35-44,91016,Summer
2.2,69,9.3,0.9,9.3,Weekly,2023-07-04,2023-08-19,46,2.581167363,157,59545,35-44,95073,Holiday
10.2,31.5,24.6,2.2,9.5,Monthly,2023-06-22,2023-07-25,33,2.554995172,127,37160,35-44,91384,Winter
11,139.3,14.5,10.2,13.4,Weekly,2023-10-16,2023-12-07,52,1.468850874,818,92637,18-24,91207,None
27.2,237.4,27.5,11,18.9,Weekly,2023-01-25,2023-02-25,31,1.390233807,69,79591,55+,91301,None
38.7,216.8,43.9,27.2,22.3,Monthly,2023-09-18,2023-11-04,47,1.513783862,17,70987,25-34,93940,None
31.7,199.1,30.6,38.7,18.3,Monthly,2023-02-26,2023-04-04,37,1.773330582,722,59085,35-44,92122,Holiday
19.3,109.8,14.3,31.7,12.4,Weekly,2023-02-07,2023-04-25,77,1.487080986,116,81307,18-24,95629,Summer
31.3,26.8,33,19.3,8.8,Daily,2023-06-02,2023-08-20,79,1.859504037,262,30852,45-54,93675,Winter
13.1,129.4,5.7,31.3,11,Weekly,2023-09-25,2023-10-31,36,1.42420619,642,14712,25-34,93460,Summer
89.4,213.4,24.6,13.1,17,Daily,2023-01-11,2023-02-21,41,0.5192435125,25,42131,18-24,95941,None
